Вакансия,Дата,Зарплата,Компания,Требуемый опыт работы,Тип занятости,Проживание,Гражданство,Обязанности:,Требования:,Образование:,Условия:,График работы:
Проектный ассистент,03 апреля 2023,38500,"АО ""АГРОПРОДУКТ""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Работа с внутренним документооборотом по инвестиционным проектам;
Ведение реестров, протоколов, баз данных;
Архивирование документации проектов;
Взаимодействие со структурными подразделениями ГК ""Содружество"";
Работа с договорами и счетами;
Сбор и консолидация информации в рамках реализации инвестиционных проектов;
Участие в разработке графиков реализации инвестиционных проектов;
Контроль за сроками и исполнением графика реализации проектов;
Проведение деловых переговоров с контрагентами и партнерами;
Участие в подготовке отчетов о ходе реализации инвестиционных проектов;
Подготовка презентаций.","Высшее образование (экономическое/юридическое/техническое);
Опыт работы на схожей должности не менее года;
Знание английского языка не ниже среднего уровня (письменный и устный);
Высокий уровень ответственности, развитые коммуникативные навыки;
Умение работать в режиме многозадачности.",Высшее,"Работа в крупном агропромышленном международном Холдинге;
Возможность профессионального и карьерного развития;
Заработная плата зависит от уровня компетенций;
Доставка корпоративным транспортом (Калининград, Светлый, Балтийск);
Оформление по ТК РФ.",Пятидневная рабочая неделя
Специалист отдела обеспечения продаж,03 апреля 2023,По договорённости,"АО ""АГРОПРОДУКТ""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Сбор информации о состоянии рынка шротов, потребителях, конкурентах, ее анализ и своевременное доведение в установленном порядке до непосредственного руководителя.
Контроль прихода и расхода соевого шрота с региональных складов.
Планирование и координация поставки и распределение продукции между потребителями на основании плановых заданий по продажам соевых шротов, полученных от директора по продажам ООО ТД «Содружество».
Анализ и обработка статистических данных таможенной службы РФ в части экспорта/импорта соевого шрота.
Взаимодействие с ООО «СОДРУЖЕСТВО-ИНФО» в части автоматизации информационных потоков.
Осуществление оперативной деятельности по управлению отгрузками товара, в том числе:
- мониторинг прибытия, погрузки и убытия железнодорожных вагонов на Производственно-логистический комплекс;

- мониторинг изменений в графике отгрузок и информирование участников логистического процесса об его изменениях.

Формирование информации о статистике железнодорожных перевозок соевого шрота.
Ведение установленной документации и отчетности о продажах продукции, в том числе:
- ежедневную, еженедельную отчетность по продажам соевого шрота;

- ежедневную отчетность по котировкам соевого шрота;

- проверку данных по маржинальности соевого шрота;

- еженедельную отчетность по позициям не ГМО шрота;

- ежемесячную отчетность по складским остаткам Представительств.

Контроль исполнения контрактов продажи продукции, в части:
- сроков поставки;

- качества поставленной продукции.","сфере закупок/продаж не менее 1 года.
Опыт работы в сфере закупок/продаж не менее 1 года.
Знание английского языка (базовый/средний уровень).
Навыки владения Excel на хорошем уровне.
Системное мышление, коммуникабельность, ответственность, исполнительность.",Высшее,"Работа в крупном агропромышленном международном Холдинге;
Заработная плата зависит от уровня компетенций;
Доставка корпоративным транспортом;
Оформление по ТК РФ.",Пятидневная рабочая неделя
Специалист-аналитик по претензионной работе,03 апреля 2023,38000,"АО ""АГРОПРОДУКТ""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Обработка входящих и исходящих претензий по направлениям работы группы компаний;
Ведение претензионной работы с контрагентами;
Контроль исполнения процедуры принятия решений и контроль принятых решений по претензиям;
Контроль разработки и согласования документов в части ведения претензионной работы;
Анализ результатов претензионной работы по направлениям деятельности группы компаний;
Подготовка предложений по повышению эффективности ведения претензионной работы;
Обеспечение заседаний Кредитного комитета информацией в части ведения и результативности претензионной работы;
Ведение внутренней документации и отчетности отдела.","Высшее экономическое образование;
Опыт работы в сфере экономики и финансов от 1 года;
Знание программных продуктов 1С:ERP, 1:С Управление холдингом, DIRECTUM;
Высокий уровень ответственности, коммуникативность, внимательность в работе с документами, умение работать в режиме многозадачности.",Высшее,"Доставка корпоративным транспортом (Калининград, Светлый, Балтийск);
Работа в крупном агропромышленном международном Холдинге;
Возможность профессионального и карьерного развития;
Заработная плата зависит от уровня компетенций;
Оформление по ТК РФ.",Пятидневная рабочая неделя
Заместитель начальника службы управления рисками,03 апреля 2023,38500,"АО ""АГРОПРОДУКТ""",Эксперт (3-6 лет),Полная,Нет,РФ,"Контроль за открытыми позициями по товарным и валютным рискам.
Подготовка, совершенствование и автоматизация риск-отчетов.
Разработка моделей хеджирования.","Опыт работы в области рыночных рисков (валюта, товары).
Опыт работы с биржевыми и внебиржевыми инструментами.
Знание основ функционирования рынка деривативов (фьючерсы, форварды, опционы, свопы, структурные продукты).
Знание специфики базисного риска.
Наличие опыта автоматизации бизнес-процессов.
Свободное владение английским языком.
Желателен опыт работы в реальном секторе.
Знание программных продуктов (Bloomberg, Reuters, 1C, Excel (advanced),1С).
Обязателен опыт работы с деривативами (биржевыми и внебиржевыми).",Высшее,"Работа в крупном агропромышленном холдинге.
Возможность карьерного развития на международном уровне.
Фиксированный оклад + ежемесячная премия. Обсуждается по итогам собеседования.
Рабочее место расположено в центральном офисе Управляющей компании региона «Россия и СНГ» в г. Калининграде.",Пятидневная рабочая неделя
Специалист отдела управления валютными рисками,03 апреля 2023,38500,"АО ""АГРОПРОДУКТ""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Ведение реестров сделок с производными инструментами;
Участие в подготовке ежедневной и ежемесячной отчетности отдела валютных рисков;
Подготовка платежных поручений и взаимодействие с казначейством;
Взаимодействие с сотрудниками Службы управления рисками и сотрудниками из смежных подразделений;","Высшее образование (экономика, финансы, математика).
Опыт работы в сфере экономики/финансов/бухгалтерии приветствуется.
Английский язык на среднем уровне.
Интерес к финансовым рынкам.",Высшее,"Работа в крупном агропромышленном международном Холдинге;
Возможность профессионального и карьерного развития;
Заработная плата зависит от уровня компетенций;
Доставка корпоративным транспортом (Калининград, Светлый, Балтийск);
Оформление по ТК РФ.",Пятидневная рабочая неделя
Специалист по подбору персонала (HR-менеджер),03 апреля 2023,По договорённости,"АО ""АГРОПРОДУКТ""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Осуществлять поиск и привлечение кандидатов (размещение вакансий, проведение интервью, проведение тестирований кандидатов);

- взаимодействовать с сотрудниками разных структурных подразделений (сбор и анализ информации о вакансии, подготовка профилей вакансий, организация собеседований и т.п.);

- производить администрирование процессов подбора и ведение документооборота (внесение данных в программу, выписка направлений на прохождение мед.осмотров, подготовка предложений от работе и т.п.).F50","высшее образование (управление персоналом, экономическое), либо переподготовка в сфере управления персоналом.",Высшее,"официальное трудоустройство по ТК РФ;

- ежемесячная премия;

- работа в крупном, быстроразвивающемся, международном, агропромышленном Холдинге;

- возможность карьерного и профессионального роста;

- доставка корпоративным транспортом (г. Калининград, г. Светлый, г. Балтийск);

- работа в дружной и профессиональной команде.",Пятидневная рабочая неделя
Инженер по организации и нормированию труда,03 апреля 2023,50000,"АО ""АГРОПРОДУКТ""",Эксперт (3-6 лет),Полная,Нет,РФ,"проведение хронометражных наблюдений, фотографий рабочего времени;

анализ использования рабочего времени персоналом предприятия;

разработка и сопровождение норм труда;

расчёт необходимой численности персонала;

расчёт планового ФОТ в соответствии с установленными нормами и планом ТОиР;

разработка предложений и внедрений новых методов организации и нормирования труда;

расчёт и анализ трудозатрат подрядными организациями.","высшее техническое/экономическое образование;
опыт работы в области организации и нормирования труда;

умение анализировать и представлять полученную информацию.",Высшее,"доставка корпоративным транспортом (Калининград, Светлый, Балтийск);
пятидневная рабочая неделя, 9.00-18.00;
интересные задачи.",Пятидневная рабочая неделя
"Начальник службы строительства, ремонта и эксплуатации зданий и сооружений",03 апреля 2023,По договорённости,"АО ""АГРОПРОДУКТ""",Профессионал (более 6 лет),Полная,Нет,РФ,"Обеспечение строительного производства по вновь строящимся и реконструируемым объектам;
Обеспечение контроля за состоянием эксплуатируемых объектов;
Управление строительными площадками, работой подрядных организаций;
Формирование системы норм и требований, совершенствование системы строительного производства на предприятии;
Экспертное участие в реализации проектов Группы в зарубежных странах (СНГ, Латинская Америка и др.).","Наличие высшего образования (Строительное, техническое);
Опыт работы в ПГС - не менее 10 лет;
Наличие успешного опыта управления строительством промышленных объектов (ОПО);
Приветствуется опыт работы в международных компаниях;
Развитые навыки мультизадачности. Навык управления рядом объектов одновременно;
Высокие коммуникативные навыки. Стратегическое и системное мышление;
Владение программными продуктами на уровне продвинутого пользователя: MS Office, AutoCAD;
Желательно владение английским языком.",Высшее,"Возможность профессионального и карьерного развития на международном уровне;
Уровень заработной платы обсуждается с успешными кандидатами по итогам интервью;
Рабочее место расположено в Управляющей компании, в г. Светлый, Калининградской области;
Наличие релокационного пакета для кандидатов, переезжающих из других регионов.",Пятидневная рабочая неделя
Начальник отдела логистики (сопровождение промышленных грузов),03 апреля 2023,По договорённости,"АО ""АГРОПРОДУКТ""",Эксперт (3-6 лет),Полная,Нет,РФ,"Контроль исполнения планов отгрузки готовой продукции;
Обеспечение детальной отчетности по отправке готовой продукции;
Контроль отгрузок с площадок Калининграда, Сморгони и Курска;
Прогноз возможных проблем, связанных с оформлением/отправкой готовой продукции;
Работа над автоматизацией текущих процессов связанных с подразделением;
Прогноз дефицита продукта с учетом принятых заказов на отгрузку;
Эффективное управление подразделением.","Высшее образование (приветствуется профильное образование, направление - логистика);
Опыт работы в сфере логистики от 3 лет;
Знание ВЭД (сопроводительные документы для таможенного оформления);
Владение MS Office и 1С на уровне уверенного пользователя;
Высокий уровень ответственности, развитые коммуникативные навыки, умение работать в режиме многозадачности.",Высшее,-,Пятидневная рабочая неделя
Начальник службы документарного сопровождения экспортно/импортных грузов,03 апреля 2023,По договорённости,"АО ""АГРОПРОДУКТ""",Эксперт (3-6 лет),Полная,Нет,РФ,"Документарное сопровождение закупок и продаж готовой продукции, торговых и сырьевых потоков / грузов Региона Россия и СНГ.

Эффективное управление подразделениями в области сопровождения потоков и ВЭД (отдел исполнения контрактов, отдел сопровождения потоков, отдел договорной и претензионной работы, отдел по работе с качеством, отдел регионального экспедирования).

Контроль исполнения потоков со стороны операционной логистики и экспедирования грузов.

Функциональное управление региональными подразделениями по сопровождению потоков Региона Россия и СНГ.

Автоматизация и цифровизация процессов Execution и документооборота экспортно-импортных грузов в качестве основного бизнес-заказчика.

Снижение рисков исполнения и повышение эффективности процессов сопровождения потоков в рамках обозначенного функционала.

Разработка стандартных операционных процедур и регламентов в области сопровождения и документационного сопровождения потоков.","Высшее образование (экономика, финансы).
Опыт документарного и логистического сопровождения и/или исполнения торговых и закупочных контрактов (back-office торговых и закупочных операций).

Опыт в международных или национальных экспортно-ориентированных агрологистических компаниях или крупных международных Холдингах в Execution или операционной логистики / управления цепями поставок - будет преимуществом.

Опыт построения документооборота и операционного сопровождения потоков, реорганизаций структур, системного анализа и автоматизации бизнес-процессов сопровождающих потоки.

Опыт руководства службами, управлениями, департаментами и работы в кросс-функциональной среде в матричных структурах.

Хорошее знание торговых и логистических операций, финансовых потоков в продажах и закупках; опыт закупок / ведения ВЭД и продаж на рынках commodity.

Знание и умение применять нормы GAFTA, FOSFA, Incoterms, грузовых и товаросопроводительных документов.

Свободное владение английским языком.",Высшее,ВАКАНСИЯ С ПЕРЕЕЗДОМ В КАЛИНИНГРАДСКУЮ ОБЛАСТЬ!,Пятидневная рабочая неделя
Системный администратор (резервного копирования),03 апреля 2023,По договорённости,"АО ""АГРОПРОДУКТ""",Эксперт (3-6 лет),Полная,Нет,РФ,"Установка, настройка серверных ОС, поддержание их в работоспособном состоянии.
Осуществление резервного копирования согласно плана.
Осуществление тестовых восстановлений и своевременное внесение корректив в план резервного копирования.
Контроль установки и настройка ПО для резервного копирования на рабочие станции и сервера.
Производство профилактических работ на серверном оборудовании.
Ведение журнала.
Поддержка следующих сервисов: файловый сервер; сервер печати; серверов с распределенной файловой системой; сервера резервного копирования.","Опыт работы от 1 года.
Высшее образование.
Знания семейства ОС Windows/Windwos Server; Знание powershell, cmd
Понимание работы следующих сервисов: AD, DNS, DHCP
Понимание работы виртуализации серверов; Понимание принципов резервного копирования; Опыт работы с NAS.",Высшее,"Работа в крупном агропромышленном международном Холдинге;
Заработная плата зависит от уровня компетенций;
Доставка корпоративным транспортом;
Оформление по ТК РФ.",Пятидневная рабочая неделя
Специалист по планированию доставки сырьевых и торговых грузов,03 апреля 2023,По договорённости,"АО ""АГРОПРОДУКТ""",Не имеет значения,Полная,Нет,РФ,"Планирование процессов потоков торговых грузов на производственно-логистические комплексы Управляемых организаций, порты перевалки и иные точки назначения;
Распределение объемов хранения торговых грузов между производственно-логистическими комплексами, агро-логистическими центрами и линейными элеваторами;
Планирование и контроль исполнения цепи поставок торговых грузов для обеспечения накопления судовых партий;
Оценка и анализ издержек, связанных с простоями судов из-за просчетов в планировании и транспортировкой порожних вагонов. Разработка мер по исключению повторения и предотвращению издержек;
Поддержание запасов торговых грузов на производственно-логистическом комплексе на уровне, необходимом для удовлетворения запросов потребителей;
Контроль за физическим накоплением и оценка готовности судовых партий торговых грузов исходя из заданных требований к срокам, количеству и качеству;","Высшее образование (логистическое или -математическое будет являться преимуществом);
Опыт работы в транспортной и складской логистике будет преимуществом;
Желателен опыт работы по сбору и обработке больших объёмов информации и выявлению закономерностей и тенденций, знаний методов математического анализа и опыт их применения в решении логистических задач;
Знание программных продуктов 1С ERP, Power BI, Microsoft office, Teams;
Способность работать в режиме ограничения по времени, многозадачности, аналитический склад ума.
Усидчивость, трудолюбие, настойчивость, целеустремленность, ответственность за свои действия.",Высшее,"работа в крупном агропромышленном международном Холдинге;
возможность профессионального и карьерного развития;
официальная заработная плата (зависит от уровня компетенций);
оформление по ТК РФ;
доставка корпоративным транспортом (г. Калининград, Балтийск, Светлый).",Пятидневная рабочая неделя
Специалист по закупкам услуг,03 апреля 2023,55000,"АО ""АГРОПРОДУКТ""",Не имеет значения,Полная,Нет,РФ,"Проведение мониторинга рынка. Поиск поставщиков работ и услуг.
Организация и проведение тендерных процедур на выбор поставщиков и услуг, подрядных организаций.
Документарное сопровождение процесса закупа.
Контроль исполнения договоров на всех стадиях.
Ведение отчетности.,","Высшее техническое или экономическое образование;
Готовность к работе в режиме многозадачности;
Умение планировать и организовывать свою работу;
Высокие коммуникативные навыки;
Знание программ Microsoft Office и 1С;
Опыт работы не менее года в сфере закупок будет преимуществом;
Опыт ведения договорной работы будет преимуществом.",Высшее,"работа в крупном агропромышленном международном Холдинге;
возможность профессионального и карьерного развития;
официальная заработная плата (зависит от уровня компетенций) от 38 000 до 55 000 руб. до вычета налогов;
оформление по ТК РФ;
доставка корпоративным транспортом (г. Калининград, Балтийск, Светлый).",Пятидневная рабочая неделя
Помощник специалиста по подбору персонала,03 апреля 2023,38400,"АО ""АГРОПРОДУКТ""",Не имеет значения,Полная,Нет,РФ,"Ведение документооборота направления (подготовка различных заявок, направлений на предварительный мед. осмотр, ведение журналов учёта и др.);
Обработка входного потока резюме и запросов кандидатов на вакантные позиции (информирование по процессу отбора кандидатов в Компании, работа в программах DIRECTUM и E-staff и др.);
Поддержка команды специалистов по подбору персонала в ходе работы над проектами;
Разработка стратегии поиска и формирование поисковых запросов;
Поиск кандидатов в различных источниках, включая карьерные сайты, профессиональные сообщества и социальные сети и др.;
Генерирование пулов релевантных кандидатов;
Сбор информации о кадровом рынке, подготовка информационных записок, участие в проведении мониторингов заработных плат;
Организация интервью и тестирования кандидатов, анкетирования и проверки СБ и др.","Наличие законченного высшего образования;
Желание развиваться в направлении рекрутмента;
Про-активность, коммуникабельность, развитая логика, внимательность к деталям, высокая скорость работы и нацеленность на результат.",Высшее,"Интенсивное обучение и профессиональное развитие в крупном международном Агро -холдинге;
Интересные задачи по поиску профессионалов в различных географиях;
Комфортные условия труда, стабильность;
Место работы расположено на территории Производственно-логистического комплекса в 23 км от г. Калининград. Доставка до места работы комфортабельным служебным транспортом (несколько маршрутов) из г. Калининград, г. Балтийск, г. Светлый.",Пятидневная рабочая неделя
Начальник отдела охраны труда,03 апреля 2023,По договорённости,"АО ""АГРОПРОДУКТ""",Профессионал (более 6 лет),Полная,Нет,РФ,"Организация и координация работы по охране труда в организации.
Участие в разработке и контроль функционирования системы управления охраной труда в организации в соответствии с государственными нормативными требованиями охраны труда, с целями и задачами организации, рекомендациями межгосударственных и национальных стандартов в сфере безопасности и охраны труда.
Контроль за соблюдением в структурных подразделениях Предприятия требований нормативных правовых актов по охране труда, проведением профилактической работы по предупреждению производственного травматизма и профессиональных заболеваний, выполнением мероприятий, направленных на создание здоровых и безопасных условий труда в организации, предоставлением работникам установленных компенсаций по условиям труда.
Организация контроля за своевременностью и полнотой обеспечения работников Предприятия специальной одеждой, специальной обувью и другими средствами индивидуальной защиты, лечебно-профилактическим питанием, молоком и другими равноценными продуктами питания.
Выявление потребности в обучение по охране труда работников, исходя из государственных нормативных требований охраны труда, а также требований охраны труда, установленных правилами и инструкциями по охране труда, контролирует проведение инструктажа по охране труда (вводных, первичных, повторных, внеплановых, целевых) работников по вопросам охраны труда.
Участие в работе комиссии по проведению специальной оценки условий труда (СОУТ), организация взаимодействия членов комиссии по проведению специальной оценки условий труда, созданной в организации в установленном порядке.
Организация и участие в работе по определению контингента работников, подлежащих обязательным предварительным при приеме на работу и периодическим медицинским осмотрам, предрейсовым (послерейсовым) и пред сменным (после сменным) осмотрам.
Оказание методической помощи руководителям структурных подразделений организации в разработке новых и пересмотре действующих инструкций по охране труда, а также в составлении программ обучения работников безопасным приемам и методам работы.
Организация и участие в расследовании несчастных случаев на производстве и профессиональных заболеваний, проведении анализа причин производственного травматизма, профессиональных заболеваний, в разработке мероприятий по их предотвращению.
Организация и контроль за соблюдением требований охраны труда, безопасных приемов и методов работы сотрудниками предприятия, подрядных организаций и при проведении практики студентов, учреждений среднего и высшего профессионального образования, и трудового обучения школьников.
Подготовка отчетности.","Высшее образование по направлению подготовки ""Техносферная безопасность"" или соответствующим ему направлениям подготовки (специальностям) по обеспечению безопасности производственной деятельности либо высшее образование и дополнительное профессиональное образование (профессиональная переподготовка) в области охраны труда.
Наличие сертификатов и удостоверений о повышении квалификации в области промышленной безопасности.
Опыт работы по направлению профессиональной деятельности не менее 5 лет в крупных производственных компаниях.",Высшее,"Работа в крупном агропромышленном международном Холдинге.
Фиксированный оклад + премии. Обсуждается по итогам собеседований.
Оформление по ТК РФ.",Пятидневная рабочая неделя
Инженер по промышленной безопасности,03 апреля 2023,По договорённости,"АО ""АГРОПРОДУКТ""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Сбор данных и оказание методической помощи структурным подразделениям в идентификации опасностей, разработке перечня опасностей и оценке рисков;

Проведение идентификации опасного производственного объекта в соответствии с признаками и классами опасности, установленными законодательством Российской Федерации о промышленной безопасности опасных производственных объектов;

Подготовка сведений, характеризующих опасный производственный объект, и комплекта документов для регистрации опасного производственного объекта в государственном реестре опасных производственных объектов;

Подготовка документов для заключения договора страхования гражданской ответственности владельца опасного производственного объекта;

Организация контроля проведения экспертизы промышленной безопасности;

Подготовка документов в области промышленной безопасности;

Организация и контроль обучения работников опасного производственного объекта;

Организация и контроль подготовки и аттестации работников организации в области промышленной безопасности;

Подготовка материалов для тематических совещаний по вопросам обеспечения промышленной безопасности;

Разработка локальных актов в области промышленной безопасности, в том числе положения и планы мероприятий по обеспечению промышленной безопасности;

Контроль соблюдения работниками опасного производственного объекта требований промышленной безопасности;

Контроль выполнения организационно-технических мероприятий по результатам производственного контроля подразделений организации, повторные проверки для подтверждения устранения выявленных нарушений.","Высшее техническое образование.
Дополнительное образование в части охраны труда.
Опыт работы на промышленных предприятиях с законченным технологическим циклом на инженерных должностях (пищевая, машиностроительная, химическая, нефтеперерабатывающая, целлюлозно-бумажная, горно-перерабатывающая отрасли) в составе ОПО I, II, III классов опасности не менее 3-х лет.",Высшее,-,Пятидневная рабочая неделя
